100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
|   HD   6314   |       F0Vn      |  16.1518735097655 | 39.9910625010474 | 7129 |  6.76 | 75.4432  |     --    | 165.0 |      8.6       |  3   |  1   |  1  | 2022-06-20 21:46 |
|   HD 195066   |       B9V       | 306.5978103160069 | 56.6386955389518 | 9705 | 6.369 | 229.5684 |     --    | 159.0 |      10.0      |  3   |  1   |  1  | 2022-06-20 21:46 |
|   HD 184381   |       F5V       | 293.2287469987919 | 31.2361043659238 | 6602 | 6.692 | 128.4307 |     --    |   --  |      8.0       |  2   |  0   |  0  | 2022-06-20 21:52 |
|   HD 192983   |       A2Vn      | 303.9302298760583 | 50.2329093251758 | 9268 |  6.36 | 115.8373 |     --    | 207.0 |      9.5       |  2   |  0   |  0  | 2022-06-20 21:52 |
|   HD 192985   |       F5V:      | 304.0025646114736 | 45.5795243737729 | 6606 | 5.864 | 34.3047  |     --    |  9.2  |      9.2       |  3   |  0   |  0  | 2022-06-20 21:58 |
|   HD 197101   |       F2Vn      | 309.7507560747877 | 56.0048463824425 | 6902 |  6.45 | 119.8926 |     --    | 165.0 |      9.8       |  3   |  1   |  0  | 2022-06-20 22:04 |
|   V* EI Cep   |     F3V+F1m     | 322.1175227654993 | 76.403495479963  | 6851 |  7.61 | 199.1199 |     --    |   --  |      11.1      |  2   |  0   |  0  | 2022-06-20 22:16 |
|   * b03 Cyg   |       A2V       | 303.6334666329396 | 36.8063012791925 | 8790 |  4.99 | 40.1192  |     --    |  65.0 |      8.4       |  3   |  1   |  0  | 2022-06-20 22:22 |
|   HD 171834   |       F3V       | 279.1628136603447 | 6.6718045741053  | 6753 | 5.425 | 33.4838  |     --    |  71.3 |      5.1       |  2   |  0   |  0  | 2022-06-20 22:22 |
|   HD 192538   |       A0V       | 303.5203444378545 | 36.6048791230751 | 9661 | 6.464 | 283.3182 |     --    | 238.0 |      8.4       |  6   |  0   |  0  | 2022-06-20 22:22 |
|   *  40 Cyg   |       A3V       | 306.8927442370476 | 38.4403498412329 | 8851 |  5.62 |  83.508  |     --    | 133.0 |      8.6       |  2   |  0   |  0  | 2022-06-20 22:28 |
|   * rho Peg   |       A1V       | 343.8069460759247 | 8.8161774166941  | 9980 |  4.9  | 83.9412  |     --    | 107.0 |      5.5       |  3   |  0   |  0  | 2022-06-20 22:28 |
|   HD   1083   |       A1Vn      |  3.7940199317823  | 27.2834415025816 | 9772 | 6.342 | 135.4316 |     --    | 233.0 |      7.7       |  4   |  1   |  0  | 2022-06-20 22:28 |
|   HD 197488   |       G2V       | 310.5846086919948 |  45.82345640428  | 6541 |   --  | 55.4964  |     --    |   --  |      9.1       |  3   |  1   |  0  | 2022-06-20 22:28 |
|   HD 182239   |       F1V       |  290.784299048171 | 14.9209906263481 | 7541 |  6.66 | 90.7532  |     --    |  57.0 |      6.4       |  3   |  0   |  0  | 2022-06-20 22:34 |
|   HD 190590   |       A5Vn      | 301.2441068624726 | 23.2103763816378 | 7816 |  6.53 | 111.7606 |     --    | 259.0 |      7.3       |  3   |  0   |  0  | 2022-06-20 22:46 |
|  * tet Sge A  |       F3V       |  302.486029364362 | 20.9150260531844 | 6703 | 6.516 | 44.7904  |     --    |   --  |      7.1       |  1   |  1   |  1  | 2022-06-20 22:58 |
|   HD 184884   |       A3V       | 294.0334812463902 | 11.1501653243942 | 8770 |  6.71 | 140.2662 |     --    | 144.0 |      5.7       |  3   |  1   |  0  | 2022-06-20 23:04 |
|   HD 191837   |       F5V       | 302.8039988797402 | 19.3650706512888 | 6647 |  7.51 | 69.2065  |     --    |   --  |      6.8       |  2   |  0   |  0  | 2022-06-20 23:04 |
|   HD 204411   |    A4VpSiCrHg   | 321.7150876759851 | 48.8351663623267 | 9509 |  5.31 | 120.0106 | 5730000.0 |  23.0 |      9.4       |  2   |  0   |  0  | 2022-06-20 23:04 |
|   HD 210884   |       F2V       | 332.6616183865123 | 70.1325736753795 | 6742 |  5.52 | 32.6239  |     --    |   --  |      10.8      |  1   |  1   |  1  | 2022-06-20 23:04 |
|  V* V383 Vul  |      F1V(n)     | 304.1068270940526 | 22.3964608535222 | 6933 |  7.2  | 205.7402 |     --    |   --  |      7.1       |  3   |  0   |  0  | 2022-06-20 23:04 |
|  * ksi Cep B  |       F8V       | 330.9425723182731 | 64.6281846177832 | 7522 | 6.342 | 31.1359  |     --    |  36.0 |      10.4      |  2   |  1   |  1  | 2022-06-20 23:10 |
|   HD 204153   |       F0V       | 321.3314539910275 | 46.7143400508401 | 6920 |   --  |  34.15   |     --    |  96.7 |      9.2       |  2   |  0   |  0  | 2022-06-20 23:10 |
|   HD 214035   |       A2V       | 338.0675931490543 | 76.2264410209012 | 9311 |  5.7  | 242.4536 |     --    | 128.0 |      11.1      |  3   |  0   |  0  | 2022-06-20 23:16 |
|   * rho Aql   |       A1Va      | 303.5692460742477 | 15.1976040979278 | 9120 | 4.946 | 47.9699  |     --    | 180.0 |      6.3       |  4   |  0   |  0  | 2022-06-20 23:22 |
|   *  74 Cyg   |       A3Vn      | 324.2373771045178 | 40.4134949567494 | 7777 | 5.035 | 76.3889  |     --    | 201.0 |      8.8       |  5   |  0   |  0  | 2022-06-20 23:34 |
|   *  76 Cyg   |       A2V       | 325.3927306246255 | 40.8052183852423 | 8954 | 6.075 | 138.5176 |     --    | 154.0 |      8.8       |  2   |  1   |  0  | 2022-06-20 23:34 |
|   HD 188385   |       A2V       | 298.6674995437676 | 7.1403525002897  | 9036 | 6.127 | 79.9341  |     --    | 118.0 |      5.1       |  2   |  0   |  0  | 2022-06-20 23:40 |
